from,to,relation
气奔怪病（皮肤下面发响声，遍身痒不可忍，抓之血出亦不止痒）,用虎杖、人参、青盐、细辛各一两，加水煎作一服饮尽。,用法
腹内突长结块，坚硬如石，痛如刺,用虎杖根一石，洗干，捣成末，掺入五升米饭中搅匀，倒好酒五斗泡起来。每饮一升半，忌食鲜鱼和盐。,用法
月经不通,用虎杖三两，凌霄花、没药各一两，共研为末。每一钱，热酒送下。又方：虎杖一斤，去头，晾干，研细，在五斗吕中浸一夜，煎取二斗。加土瓜根汁、牛膝汁各二斗，一起熬浓，状如糖稀。每服一合，酒送上。昼两服，夜一服，月经即通。,用法
小便淋,用虎杖为末，每服二钱，米汤送下。,用法
匾蓄,草部,属于
匾蓄,扁竹,别名
匾蓄,扁辨,别名
匾蓄,扁蔓,别名
匾蓄,粉节草,别名
匾蓄,道生草,别名
匾蓄,苦、平、无毒。,性状
匾蓄,热黄疸疾,主治
匾蓄,蛔虫病,主治
匾蓄,痔发肿病,主治
匾蓄,恶疮痂痒,主治
恶疮痂痒,用匾蓄捣烂封患处，痂落病愈。,用法
痔发肿病,用匾蓄捣烂取汁服一升。无效可再服。另取匾蓄汁和面作饼，一天吃三次,用法
热黄疸疾,用匾蓄放豉汁中，下五味，煮羹汤吃。,用法
蛔虫病,用匾蓄十斤，锉细，加水一石煎至一斗。去渣，再次煎浓。头天晚上禁食，次日空心服一升，虫即可打下。,用法
蒺藜,草部,属于
蒺藜,名茨,别名
蒺藜,旁通,别名
蒺藜,屈人,别名
蒺藜,止行,别名
蒺藜,休羽,别名
蒺藜,升推,别名
蒺藜,（子）苦、温、无毒。（白蒺藜：甘、温、无毒）。,性状
蒺藜,腰脊痛,主治
蒺藜,通身浮肿,主治
蒺藜,大便风秘,主治
蒺藜,月经不通,主治
蒺藜,难产（胎在腹中，胞衣亦不下；或者胎死）,主治
蒺藜,蛔虫病,主治
蒺藜,多年失明,主治
蒺藜,牙齿动摇,主治
蒺藜,鼻塞多年，不闻香臭,主治
蒺藜,面上瘢痕,主治
蒺藜,白癜风,主治
蒺藜,疔肿,主治
疔肿,用蒺藜子一升，火熬，捣烂，以醋调匀封疮上。拔根即愈。13、蠼螋尿疮。用蒺藜叶捣烂敷患处。如无叶，可用子代替。,用法
白癜风,用白蒺藜子六两，生捣为末。每服二钱，热水送下。一天服二次。一月后断根。服至半月时，白处见红点，即预示有效。,用法
面上瘢痕,用蒺藜子、山栀子各一合，共研为末。加醋调匀。夜涂脸上，清晨洗去。,用法
鼻塞多年，不闻香臭,用蒺藜两把，加水一大碗煮取半碗，先令病人仰卧。满口含饭。随好以药汁一合灌入鼻中，如不通，可再灌。至鼻中喷出一、两个小肉坨（息肉）子，病即愈。,用法
牙齿动摇,用蒺藜去角，生研五钱，加水淡浆水半碗，盐少许，温时漱口，甚效。或以蒺藜根烧灰贴牙，亦能固齿。,用法
多年失明,用初秋采集的蒺藜子，陰干捣成散，饭后服，水送下。一天服二次。,用法
蛔虫病,用初秋采集的蒺藜子，陰干收存。每服一匙，一天服三次。,用法
难产（胎在腹中，胞衣亦不下；或者胎死）,用蒺藜子，贝母各四两，共研为末，米汤冲服三钱。过一会如仍不下，可再次服药。,用法
月经不通,有杜蒺藜、当归，等分为末。每服三钱，米汤送下。,用法
腰脊痛,用蒺藜子捣成末，加蜜做成丸子，如胡豆大，每服二丸，酒送下。一天服三次。,用法
通身浮肿,有杜蒺藜每日煎汤洗。,用法
大便风秘,用蒺藜子（炒）一两、猪牙皂荚（去皮、酥炙）五钱，共研为末。每服一钱，盐茶汤送下。,用法
谷精草,草部,属于
谷精草,戴星草,别名
谷精草,文星草,别名
谷精草,流星草,别名
谷精草,（花）辛、温、无毒。,性状
谷精草,脑痛、眉痛,主治
谷精草,偏正头痛,主治
谷精草,鼻血不止,主治
谷精草,目中翳膜,主治
谷精草,小儿雀盲（夜盲）,主治
小儿雀盲（夜盲）,用羊肺（按：张绍棠味古斋版本是用羊肝）一具，原物不洗，竹刀剖开，放入谷精草一撮，瓦罐煮熟，每天吃一些，有效。忌用铁器。如不肯吃，可炙熟后捣烂做成丸子，如绿豆大。每服三十丸，茶送下。,用法
目中翳膜,用谷精草、防风，等分为末，米汤冲服，甚验。,用法
鼻血不止,用谷精草为末，每服二钱，熟面汤送下。,用法
偏正头痛,用谷精草，研为末，加白面糊调匀摊纸上贴痛处，干了改换。又方：用谷精草末、铜绿各一钱，硝石半分，混匀，随头痛的左、右边，吸入左右鼻孔中。,用法
脑痛、眉痛,用谷精草二钱、地在三钱、乳香一钱，共研为末。每用半钱，烧烟筒中，熏鼻。,用法
海金沙,草部,属于
海金沙,竹园荽,别名
海金沙,甘、寒、无毒。,性状
海金沙,热淋急痛,主治
海金沙,小便不通，脐下闷满,主治
海金沙,小便膏淋如油,主治
海金沙,血淋,主治
海金沙,脾湿肿满（腹胀如鼓，气喘，不能俯卧）,主治
脾湿肿满（腹胀如鼓，气喘，不能俯卧）,用海金沙三钱，白术四两、甘草半两、黑牵牛头一两半，共研为末。每服一钱，水送下。能泻为好。此方名“海金沙散”。,用法
血淋,用海金沙研为末。每服一钱，用沙糖水送下。,用法
小便膏淋如油,用海金沙、滑石各一两，甘草梢二钱半，共研为末。每服二钱，麦门冬煎汤服。一天服二次。,用法
小便不通，脐下闷满,用海金沙一两、腊南茶半两、一起捣碎。每服三钱，生姜、甘草煎汤送下。一天服二次。,用法
热淋急痛,用海沙草陰干，研末。每服二钱，煎生甘草汤调上。药中加滑石亦可。,用法
半边莲,草部,属于
半边莲,辛、平、无毒。,性状
半边莲,蛇咬伤,主治
半边莲,气喘,主治
蛇咬伤,用半边莲捣烂，取汁饮下。药渣敷伤处。,用法
气喘,用半边莲捣烂，取汁饮下。药渣敷伤处。,用法
紫花地丁,草部,属于
紫花地丁,箭头草,别名
紫花地丁,独行虎,别名
紫花地丁,羊角子,别名
紫花地丁,米布袋,别名
紫花地丁,苦、辛、寒、无毒。,性状
紫花地丁,黄疸内热,主治
紫花地丁,痈疽恶疮,主治
紫花地丁,痈疽发背,主治
紫花地丁,疔疮肿毒,主治
紫花地丁,喉痹肿痛,主治
喉痹肿痛,用紫花地丁叶，加酱少许，研成膏，点入喉部。取吐为效。,用法
疔疮肿毒,用紫花地丁草捣汁服。又方：用紫花地丁草、葱头、生蜜一起捣烂贴患处。又方：用紫花地丁均、去粗皮，同白蒺藜共研为末。加油调匀涂患处。,用法
痈疽发背,用三伏天收取的紫花地丁草，捣碎，和白面，放醋中泡一夜，贴疮上，极有效。,用法
痈疽恶疮,用紫花地丁（连根）、苍耳叶等分，捣烂，加酒一杯，搅汁服下。,用法
黄疸内热,用紫花地丁研末，每服三钱，酒送下。,用法
见肿消,草部,属于
见肿消,酸涩、有微毒。,性状
见肿消,痈肿、狗咬,主治
见肿消,一切肿毒,主治
痈肿、狗咬,用见肿消捣烂敷贴。,用法
一切肿毒,用见肿消草、生白芨、生白蔹、土大黄、生大蓟根、野荣麻根，共捣成饼，加硭硝一钱，和匀，贴患处。贴时留头，药干即换。用再加金线重楼及山慈姑更好。,用法
大黄,草部,属于
大黄,黄良,别名
大黄,将军,别名
大黄,火参,别名
大黄,肤如,别名
大黄,（根）苦、寒、无毒。,性状
大黄,吐血、鼻血（心气不足）,主治
大黄,伤寒痞满（心下满而不痛）,主治
大黄,热病兼说胡话,主治
大黄,腰脚风痛,主治
大黄,风热积壅,主治
大黄,痰为面病（但水泻及胎前产后的痰病不可服用）,主治
大黄,腹中痞块,主治
大黄,脾癖疳积,主治
大黄,小儿诸热,主治
大黄,骨蒸积热，渐渐黄瘦,主治
大黄,赤白浊淋,主治
大黄,大便秘结,主治
大黄,热痢，里急后重,主治
大黄,伤寒并热霍乱（涎流吐逆，不能言语，牙齿动摇，喘气闷绝）,主治
大黄,食后即吐,主治
大黄,产后血块,主治
大黄,男子疝气偏坠,主治
大黄,头眼昏眩,主治
大黄,风热牙痛,主治
大黄,口腔糜烂,主治
大黄,鼻内生疮,主治
大黄,损伤瘀血（从高处跌下或木石压伤，痛不可忍）,主治
大黄,冻疮,主治
大黄,汤火伤,主治
大黄,蠼螋咬疮,主治
大黄,肿毒初起,主治
大黄,痈肿热痛,主治
大黄,乳痈,主治
大黄,大风癞疮,主治
大风癞疮,用大黄（煨）一两、皂荚两刺一两，共研为末。每服一匙，空心服，温酒送下。排出恶物如鱼脑状或乱发状，再雄黄花蛇药（“通天再造散”）,用法
乳痈,用大黄、粉草各一两，共研为末，加好酒熬成膏，摊布块上贴疮。同时，取药末一匙，温酒送服。次日有恶物排出。此方名“金黄散”。,用法
痈肿热痛,用大黄研末，加醋调匀涂患处。药干即换。,用法
肿毒初起,用大黄、五倍子、黄蘖，等分为末，新汲水调匀涂患处。每天四至五次。,用法
蠼螋咬疮,用大黄研末敷上。,用法
汤火伤,用大黄生研，调蜜涂搽，不惟止痛，而且灭瘢。,用法
冻疮,用水调大黄末涂搽。,用法
损伤瘀血（从高处跌下或木石压伤，痛不可忍）,用大黄（酒蒸）一两、杏仁（去皮）三、七粒，共研细，加酒一碗，煎成六分，鸡鸣时服。至晚间有瘀血排下为验。,用法
鼻内生疮,用生大黄、杏仁捣匀，加猪油调涂。又方：用生大黄、黄连各一钱，麝香少许，共研为末，加重油调涂。,用法
吐血、鼻血（心气不足）,用大黄二两，黄连、黄芩各一两，加水三升，煮成一升，热服。下泻即验。,用法
伤寒痞满（心下满而不痛）,用大黄二两、黄连一两，泡入麻沸汤中。过一会，绞渣取汁，分二次温服。此方名大黄黄连泻心汤。,用法
腰脚风痛,用大黄二两，切成小块，加少许酥油炒干，不能炒焦。捣烂筛过。每服二钱，空心服，煮开过多次的姜汤送下。泻出冷脓恶物，痛即止。,用法
热病兼说胡话,用大黄五两，锉细，炒到微红，加水煎成膏子，每服半匙，冷水送下，此方亦治伤寒发黄。,用法
风热积壅,用大黄四两、牵牛子（半炒）四两、共研为末，加炼蜜做成丸了，如梧子大。每服十丸，白开水送下。如要微泻，每服可加十至二十丸。又方：基本上和上主栅，但不用炼蜜而用皂荚熬膏代替，称为坠痰丸或“全真丸”，又名“保安丸”。,用法
痰为面病（但水泻及胎前产后的痰病不可服用）,用大黄（酒浸，蒸熟。切晒）八两，生黄芩八两，沉香半两，共研为末，加青礞石（二两）和焰硝（二两）一起封固、煅红、研细的药末二两，以水和各药成丸，如梧子大。常服一、二十丸，小病五、六十丸，缓病七、八十丸，急病一百二十丸，温水送下后，好静卧勿动，让药起作用。第二天，先下糟粕，次下痰涎。如未下，可再次服药，此方名“滚痰丸”。,用法
腹中痞块,用大黄十两，研为末，加醋三升、蜜两匙，和匀，煎成丸了，如梧子大。生前了三十丸，生姜汤关定。能吐泻即验。又方：陈石灰半斤，瓦器上炒至极热，等稍冷后，加大黄末（炒热）一两、桂心末（略炒）半两，以醋调成膏，摊在布上贴患处。又方：大黄二两、朴硝一两，共研为末，以大蒜同捣成膏贴患处。加放阿魏一两，更好。,用法
脾癖疳积,用大黄末三两，加醋熬成膏，倒在瓦上日晒夜露三天；再加硫磺一两（以形如琥珀者为好）、宫粉一两，一起研匀。十岁以下小孩，每服半钱，大人每服一钱半，米汤送下。忌生冷鱼肉，只吃白粥半月。如一服不愈，半月之后再服。,用法
小儿诸热,用大黄（煨熟）、黄芩各一两，共研为末，加炼蜜做在成丸子，如麻子大。每服五至十丸，蜜汤送下。亦可加黄连，称为“三黄丸”。,用法
骨蒸积热，渐渐黄瘦,用大黄四分、加童便五六合，煎取四合，去渣服汁，分二次服。,用法
赤白浊淋,用大黄研末，每次取六分，放入破了顶的鸡蛋中，搅匀，蒸熟，空心吃下。三次见效。,用法
大便秘结,用大黄末一两、牵牛头末半两，和匀，每服三钱。用厥次序心烦现象者，酒送下，无此现象者，蜜汤送下。,用法
热痢，里急后重,用大黄一两，浸酒中半日，取出煎服。,用法
伤寒并热霍乱（涎流吐逆，不能言语，牙齿动摇，喘气闷绝）,用大黄、人参各半两，加水二碗，煎成一碗，热服即安。,用法
食后即吐,用大黄一两、甘草二钱半，加水一升，煮成半升，温服。,用法
产后血块,用大黄末一两，加头醋半升，熬膏做成丸子，如梧子大。每服五丸，温醋化下。,用法
男子疝气偏坠,用大黄末调醋涂患处，药干即换。,用法
头眼昏眩,用酒炒大黄，研为末，清茶送服二钱。,用法
风热牙痛,用大内烧存性，研为末，早晚擦牙。,用法
口腔糜烂,用大黄、枯矾，等分为末，擦牙，吐涎。,用法
商陆,草部,属于
商陆,逐汤,别名
商陆,当陆,别名
商陆,章柳,别名
商陆,白昌,别名
商陆,马尾,别名
商陆,夜呼,别名
商陆,（根）辛、平、有毒。,性状
商陆,温气脚软,主治
商陆,水气肿满,主治
商陆,腹中症结（硬如石块，刺痛异常,主治
商陆,产后腹大、坚满，喘不能卧,主治
商陆,五尸注痛（尸注病明是：腹痛胀急，不得喘息，上攻心胸，旁攻两胁，或垒块涌起,主治
商陆,石痈（痈硬如石，不出脓）,主治
石痈（痈硬如石，不出脓）,用一商陆根捣烂搽涂患处，药干即换。此方亦治湿疮、疖子。,用法
五尸注痛（尸注病明是：腹痛胀急，不得喘息，上攻心胸，旁攻两胁，或垒块涌起,---按尸注常提到的有：一飞尸：游走皮肤，洞穿脏腑；二、游尸：附骨和主肉，攻凿血脉；三、风尸：只觉疼痛，而不积压痛在何处；四、沉尸：弹绵脏腑，冲引肺胁）。用商陆根煎烂，装布袋中，乘热熨痛处，药冷好换。,用法
产后腹大、坚满，喘不能卧,用商祟根一两、大埋葬一两半、甘遂（炒）一两，共研为末。每服二、三钱，热汤调下，腹泻即停药。引方名“白圣散”。,用法
腹中症结（硬如石块，刺痛异常,用商陆根捣汁或蒸烂，摊布上，放在患处，药冷即换，昼夜不停。,用法
水气肿满,用商陆根去皮，切成豆大颗粒，装一碗，加糯米一碗，同煮成粥，每日空心吃下。微泻为好，不得杂食。又方：白商陆六两，取汁半合，加酒半升，基酌病人情况适量给服，腹泻为效。又方：白商陆一升、羊肉六两，加水一斗煮取六升，去渣，和葱豉一起煨汤吃。,用法
温气脚软,用商陆根切成小豆大，先煮熟，再加绿豆同煮成饭，每日进食，病愈为止。,用法
狼毒,草部,属于
狼毒,根）辛、平、有大毒。【,性状
狼毒,心腹痛,主治
狼毒,腹中冷痛（民证停痰，两胁痞满）,主治
狼毒,陰疝（睾丸缩入腹中，急痛）,主治
狼毒,寄生虫病,主治
狼毒,干湿虫疥,主治
狼毒,积年疥癞,主治
狼毒,积年干癣（抓破则出黄水，每逢陰雨即痒）,主治
狼毒,恶疾风疮,主治
恶疾风疮,用狼毒、秦艽，等分为末，每服一匙，温酒送下，一天服一至二次。,用法
积年干癣（抓破则出黄水，每逢陰雨即痒）,用狼毒末涂搽。,用法
积年疥癞,用狼毒一两，一半生研、一半炒研，加轻粉三合、水银三钱，共为末，浸清油中三日（油中加茶末少许），蘸油涂患处。同时以口鼻在药碗上吸气以助药效。,用法
干湿虫疥,用狼毒（不拘多少）捣烂，以猪油、马油调搽患处。睡时勿以被蒙头，恐药气伤脸。,用法
寄生虫病,用狼毒研细，取一钱，加糖一块，临醒时空腹服，水送下。次早即有虫排出。,用法
陰疝（睾丸缩入腹中，急痛）,用狼毒四两、防风二两、附子三两，共研为末，加蜜做成丸子，如梧子大。每服三丸，日夜连服三次。,用法
腹中冷痛（民证停痰，两胁痞满）,用狼毒三两、附子一两、旋复花三两，共捣为末，加蜜做成丸，如梧子大。每服三丸，饭前服。白开水送下。每天服三次。,用法
心腹痛,用狼毒二两、附子半两，捣烂，加蜜成丸，如梧子大。第一天服一丸，第二天服二丸，第三天服三丸，然后又加一丸起至三丸止，如此循环直以病愈。,用法
防葵,草部,属于
防葵,房苑,别名
防葵,梨盖,别名
防葵,利茹,别名
防葵,（根）辛、寒、无毒。,性状
防葵,肿病,主治
防葵,癫狂邪疾,主治
防葵,伤寒动气（伤寒汗下后，脐左有动气）,主治
伤寒动气（伤寒汗下后，脐左有动气）,用防葵一两，木香、黄芩、柴胡各半两。各药混合后，每取半两加水一碗半，煎至八成，温服。此方名“防葵散”。,用法
癫狂邪疾,用记葵研为末，每服少许，温酒送下。,用法
肿病,用记葵研为末，每服少许，温酒送下。,用法
狼牙,草部,属于
狼牙,牙子,别名
狼牙,狼齿,别名
狼牙,狼子,别名
狼牙,犬牙,别名
狼牙,抱牙,别名
狼牙,支兰,别名
狼牙,（根）苦、寒、无毒。,性状
狼牙,刀伤,主治
狼牙,尿血,主治
狼牙,寸白虫（按：即绦虫）等,主治
狼牙,妇女陰痒,主治
狼牙,妇女陰蚀（陰部溃烂）,主治
狼牙,停耳出汁,主治
狼牙,毒蛇伤螫,主治
毒蛇伤螫,用狼牙根或叶捣烂，加猪油调匀涂搽。,用法
停耳出汁,用狼牙研末，裹棉中，塞耳内。,用法
妇女陰蚀（陰部溃烂）,用狼牙三两，加不四升煎取半升，洗患处。一天四至五次。,用法
妇女陰痒,用狼牙二两、蛇床子三两，煎水热洗。,用法
寸白虫（按：即绦虫）等,用狼牙五两，研为末，加蜜做成丸子，如麻子大。服药前一天，禁食，次日清晨，服药一合，浆水送下。全剂服完，病即愈。,用法
尿血,用狼牙草（焙干）、蚌粉（炒）、槐花、百药煎，等分为末。每服三钱，空心服，淘米水调下。,用法
刀伤,用狼牙草的茎、叶熟捣贴伤处。,用法
闾茹,草部,属于
闾茹,离娄,别名
闾茹,掘据,别名
闾茹,白色者名草闾茹,别名
闾茹,根）辛、寒、有小毒。,性状
闾茹,痈疽肿痛,主治
闾茹,疥疮,主治
闾茹,伤寒咽痛（毒气上攻发肿）,主治
伤寒咽痛（毒气上攻发肿）,用指甲大小的闾茹一块，放口中嚼汁咽下。,用法
疥疮,用闾茹研为末，加轻粉、香油调匀敷涂。,用法
痈疽肿痛,用闾茹一两，研为末，每服一匙，温水送下。,用法
大戟,草部,属于
大戟,邛巨,别名
大戟,下马仙,别名
大戟,根）苦、寒、有小毒。,性状
大戟,水肿喘包,主治
大戟,水病肿满,主治
大戟,水肿腹大（或遍身浮肿）,主治
大戟,牙痛,主治
牙痛,把大戟放口中齿痛处，咬定。止痛效果好。,用法
水肿腹大（或遍身浮肿）,用枣一半，放锅内，上面盖着大戟的根、苗，不加盖煮熟，随时取枣吃下，枣尽病愈。又方：大戟、白牵牛、木香，等分为末。每取一钱，纳入剖开的猪肾中，用湿纸包好煨熟，空心吃下。,用法
水病肿满,用大戟、当归、橘皮各一两，切碎，加水二升，煮取七俣，一次服下，病重者，再服一次可愈。病愈后，一年之内须慎饮食，不吃刺激性大的东西。,用法
水肿喘包,用大戟（炒）二两、干姜（炮）半两，共研为末，每服三钱，姜汤送下。以大小便通畅为度。,用法
泽漆,草部,属于
泽漆,漆茎,别名
泽漆,猫儿眼睛草,别名
泽漆,绿叶绿花草,别名
泽漆,五凤草,别名
泽漆,茎、叶）苦、微寒、无毒。,性状
泽漆,咳嗽上气、脉沉,主治
泽漆,心下伏瘕（大如杯，不能进食）,主治
泽漆,水所蛊病（按：此病的病象是腹满，喘息、浮肿）,主治
泽漆,脚气赤肿，走路疼痛,主治
泽漆,牙痛,主治
泽漆,瘰疬,主治
泽漆,癣疮,主治
癣疮,用泽漆晒干，研为末，调油涂搽。,用法
瘰疬,用泽漆一、二捆，加水二桶，熬成一桶。去渣，再熬成膏一碗，收存瓶中。用时先以椒、葱、槐枝把患处洗净，然后用膏涂搽，几次之后好可见效。,用法
牙痛,用泽漆研为末，开水泡汁漱口。,用法
脚气赤肿，走路疼痛,用泽漆鹭鸶藤、蜂窠，等分为末。每取一两，加水五碗煎成三碗，熏洗痛处。,用法
水所蛊病（按：此病的病象是腹满，喘息、浮肿）,用泽漆晒干，研为末，加枣肉和成丸子，如弹子大。每服二丸，白开水送下。一天服二次。如腹中觉暖、小便通畅，即为服药见效。,用法
心下伏瘕（大如杯，不能进食）,用泽漆四两，大黄、葶苈各三两，捣烂筛细，加蜜成丸，如梧子大。每服二丸，一天服三次。,用法
咳嗽上气、脉沉,用泽漆三斤，加水五斗，煮取一斗五升，去渣，汁中再加半夏半升，紫参、白前、生姜各五两，甘草黄芩、人参、桂心各三两，最后煎成药汁五升。每服五合，一天服三次。,用法
甘遂,草部,属于
甘遂,白泽,别名
甘遂,主田,别名
甘遂,鬼丑,别名
甘遂,陵泽,别名
甘遂,甘泽,别名
甘遂,重泽,别名
甘遂,苦泽,别名
甘遂,（根）苦、寒、有毒。,性状
甘遂,水肿腹满,主治
甘遂,身面浮肿,主治
甘遂,肾水流注（腿膝挛急，四肢肿痛）,主治
甘遂,大小便不通,主治
甘遂,水鼓气湍,主治
甘遂,脚气肿痛,主治
甘遂,疝气偏肿,主治
甘遂,痞症（发热、盗汗、胸背疼痛）,主治
甘遂,消渴,主治
甘遂,风痰迷心癫痫,主治
甘遂,小儿马脾风（风热喘促，闷乱不安）,主治
甘遂,麻木疼痛,主治
甘遂,突然耳聋,主治
突然耳聋,用甘遂半寸。棉裹插耳内，口中嚼少许甘草。,用法
麻木疼痛,用甘遂二两、蓖麻子仁四两、樟脑一两，共捣作饼，贴患处。此方名“万灵膏”。内服甘草汤。,用法
小儿马脾风（风热喘促，闷乱不安）,用甘遂（包面中，煮过）一钱半、辰砂（水飞）二钱半、轻四化建设少许，共研为末。服时，先取少许浆不，滴入一为油，然后放药末二、三分在油上。等药下沉，去浆灌服。此方名“无价散”。,用法
风痰迷心癫痫,用甘遂二钱，研为末，放在猪心里。缚紧，纸懈，煨熟。取药出，加辰砂末一钱，分成四份。每服一份，半用过的猪心煎汤调下。以大便下恶物为效，否则须再次服药，此方名“遂心丹”。,用法
消渴,用甘遂（麸炒）半两、黄连两，共研细，加蒸饼做成丸子，如绿豆大。每服二丸，薄荷汤送下。忌甘草。,用法
痞症（发热、盗汗、胸背疼痛）,用甘遂包在面中，放浆水内煮十沸，去面。把甘遂在微火上炒黄，研为末。大人每服三钱，小儿每服一钱，临星时服，冷蜜水送睛。忌油腻鱼肉。,用法
疝气偏肿,用甘遂、茴香，等分为末。每服二钱，酒送下。,用法
脚气肿痛,和甘遂半两，木鳖子仁四个，共研为末。每取四钱，放入猪肾中，湿纸包好煨熟，空心吃，米汤送下。不过十服见效。,用法
大小便不通,用甘遂五钱（半生半炒）、胭脂坏了十文，共研匀。每服一钱，加白面四两，和水做成面片，煮熟淡食。待大小便通畅后，再服平胃散加熟附子，每取二钱煎服。,用法
肾水流注（腿膝挛急，四肢肿痛）,用上方加木香四钱，每用二钱，煨熟，温酒嚼下。泻下黄水为验。,用法
身面浮肿,用甘遂二钱，生研为末，放入猪肾中，外包湿纸煨熟吃下。每日吃一次至四、五次。如觉腹鸣，小便亦通畅，即是见效,用法
水肿腹满,用甘遂（炒）二钱二分、牵牛一两半，共研为末，煎为水剂，随时服用。,用法
续随子,草部,属于
续随子,千金子,别名
续随子,千两金,别名
续随子,菩萨豆,别名
续随子,拒冬,别名
续随子,联步,别名
续随子,辛温、有毒。,性状
续随子,小便不通,主治
续随子,水肿,主治
续随子,症块,主治
续随子,蛇咬伤,主治
蛇咬伤,用续随子仁七粒、重台六分，捣烂，筛过，制成散剂，酒送服一匙，另用唾液调药末涂伤处。,用法
症块,用续随子三十枚、腻粉二钱、青黛（炒）一钱，共研为末加糯米饭和成丸子，如芡子大。每服一丸，打破，以大枣一枚烧熟，去皮核后，和药一起嚼烂，冷茶送下。半夜后泻出积聚恶物即见药效。,用法
水肿,用续随子一两，去壳，研细，压去油，再研细，分作七付，每治一人有一付。男子有酒下，女子用荆芥汤下。五更现服，不久，腹泻，但天大亮后泻自停。可另服厚朴汤补身体，习盐、醋一在昊，病即不复发。,用法
小便不通,用续随了（去皮）一两、铅丹半两，同炒，加蜜捣成团，装瓶中，埋陰焉得虎子。春末前取出，研为末，加蜜做成丸子，如梧子大。每服二、三十丸，木通汤化药送下。如病急，亦可临时合药。,用法
莨菪,草部,属于
莨菪,天仙子,别名
莨菪,横唐,别名
莨菪,行唐,别名
莨菪,（子）苦、寒、无毒。,性状
莨菪,突发颠狂,主治
莨菪,风痹厥痛,主治
莨菪,久咳不止（痰有脓血）,主治
莨菪,长期水泻,主治
莨菪,赤白痢,主治
莨菪,肠风下血,主治
莨菪,脱肛不收,主治
莨菪,风牙虫牙,主治
莨菪,风毒咽肿或瘰疬咽肿，吞水不下,主治
莨菪,乳痈坚硬,主治
莨菪,恶疮似癞，长期不愈,主治
莨菪,跌打损伤,主治
跌打损伤,用莨菪子三工业区末，加羊油调涂伤处。,用法
恶疮似癞，长期不愈,用莨菪子烧存性，研为末，敷患处。,用法
乳痈坚硬,用新莨菪子半匙，清水一碗磅服。注意不得把药嚼破。,用法
风毒咽肿或瘰疬咽肿，吞水不下,用莨菪子研为末，每服两小匙，水送下。极效。,用法
风牙虫牙,用莨菪子一撮，放在小口瓶内烧类。以小寇引烟入病齿处。又方：把莨菪子装入瓶内，热汤淋药得气，吸入口中，药冷即换。有涎出，可吐去。,用法
脱肛不收,用莨菪子炒过，研为末，敷患处。8,用法
突发颠狂,用莨菪三升，研细，在一升酒中泡几天。去渣，煎成浓汁。一天内分三次饮完。如觉头中似有虫行，额部及手脚现红点，即是病快要好的现象。,用法
风痹厥痛,和莨菪三钱（炒），大草乌头、甘草各半两，五灵脂一两，共研为末。加糊做成丸子，如梧子大，以螺青为衣。每服十丸，男子用菖蒲酒送下，女子用芫花汤送下。,用法
久咳不止（痰有脓血）,用莨菪子五钱，先煮后炒，研细，加酥油如鸡收蛎的量，大枣七枚，同煎至油尽。取枣日食三枚。又方：取莨菪子三撮吞服，一天服五、六次，极验。,用法
长期水泻,用干枣十个，去核，填入莨菪子，扎定，烧存性。每服一钱，粟米汤送下。,用法
赤白痢,用大黄（煨）半两、莨菪子（炒黑）一撮，共研为末。每服一钱，米汤送下。,用法
肠风下血,用莨菪子一升，晒干、捣烂、筛细；生姜半斤，取汁；同入银锅中加二升。一起煎成浓糖稀状，再倒入酒五升，慢火上进一步煎浓，做成丸子，如梧子大。每天早晨用酒送服三丸，视病情可增至五、七丸。安服有微热。勿惊异，病重的人服过三日，当有下泻病愈后，泻亦止。,用法
蓖麻,草部,属于
蓖麻,（子）甘、辛、平、有小毒。,性状
蓖麻,半身不遂，失音不语,主治
蓖麻,口目歪斜,主治
蓖麻,风气头痛,主治
蓖麻,鼻塞不通,主治
蓖麻,急性喉痹，牙关咬紧,主治
蓖麻,咽中疮肿,主治
蓖麻,水气胀满,主治
蓖麻,脚气病,主治
蓖麻,小便不通,主治
蓖麻,子宫脱出,主治
蓖麻,疠风（鼻塌下，手指弯曲，指节疼痛，渐至断落）,主治
蓖麻,催生下胎（不拘生胎死胎）,主治
蓖麻,一切毒肿,主治
蓖麻,瘰疬结核,主治
蓖麻,肺风面疮（起白屑或微有赤疮）,主治
蓖麻,脸上雀斑用蓖麻子仁、蜜陀僧、硫磺和呈钱，共研为末,主治
蓖麻,突然耳聋,主治
蓖麻,汤火伤,主治
汤火伤,用蓖麻子仁蛤粉，等分为末，汤伤以油调搽，火灼以水调搽。,用法
突然耳聋,用蓖麻子一百个，去壳与大枣十五枚，一起捣烂，稍加人乳，做成锭子。用时取一枚裹棉花中塞耳内。一天换药一次。以二十日病愈。,用法
脸上雀斑用蓖麻子仁、蜜陀僧、硫磺和呈钱，共研为末,以羊脑髓和匀，每夜敷斑上。,用法
肺风面疮（起白屑或微有赤疮）,用蓖麻子仁五十粒，白果、枣各三个、瓦松三钱、皂角一个，共捣烂，做成团子，用以洗面。,用法
瘰疬结核,用蓖麻子炒，去皮，每睡时服二、三枚，有效。但一生不可再吃炒豆。,用法
